token,symbol,name,assetToken,expiryDate,expiryMonth,expiryYear,instrument,series,lotSize,tickSize,maxQuantity,exchange,underlyingSymbol,displayName,exchangeToken,tradedValue,strikePrice,optionType,optionsAvailable
1024216,USDINR23JULFUT,USDINR,600,27,7,2023,FUT,FO,1,0.25,10000,BCD,USDINR,USDINR 27 JUL23 FUT,BCD_FO|1024216,0,0,XX,true
1010390,USDINR23MARFUT,USDINR,600,28,3,2023,FUT,FO,1,0.25,10000,BCD,USDINR,USDINR 28 MAR23 FUT,BCD_FO|1010390,3434.93,0,XX,true
1016710,USDINR23MAYFUT,USDINR,600,29,5,2023,FUT,FO,1,0.25,10000,BCD,USDINR,USDINR 29 MAY23 FUT,BCD_FO|1016710,328251.58,0,XX,true
2169747,USDINR23MARFUT,USDINR,600,17,3,2023,FUT,FO,1,0.25,10000,BCD,USDINR,USDINR 17 MAR23 FUT,BCD_FO|2169747,0,0,XX,true
2164138,USDINR23FEBFUT,USDINR,600,10,2,2023,FUT,FO,1,0.25,10000,BCD,USDINR,USDINR 10 FEB23 FUT,BCD_FO|2164138,0,0,XX,true
2165037,USDINR23FEBFUT,USDINR,600,17,2,2023,FUT,FO,1,0.25,10000,BCD,USDINR,USDINR 17 FEB23 FUT,BCD_FO|2165037,0,0,XX,true
1043013,USDINR23DECFUT,USDINR,600,27,12,2023,FUT,FO,1,0.25,10000,BCD,USDINR,USDINR 27 DEC23 FUT,BCD_FO|1043013,0.84,0,XX,true
1034922,USDINR23OCTFUT,USDINR,600,27,10,2023,FUT,FO,1,0.25,10000,BCD,USDINR,USDINR 27 OCT23 FUT,BCD_FO|1034922,0,0,XX,true
1035127,USDINR23JANFUT,USDINR,600,13,1,2023,FUT,FO,1,0.25,10000,BCD,USDINR,USDINR 13 JAN23 FUT,BCD_FO|1035127,439460.57,0,XX,true
1027338,USDINR23AUGFUT,USDINR,600,29,8,2023,FUT,FO,1,0.25,10000,BCD,USDINR,USDINR 29 AUG23 FUT,BCD_FO|1027338,4.16,0,XX,true
1019597,USDINR23JUNFUT,USDINR,600,27,6,2023,FUT,FO,1,0.25,10000,BCD,USDINR,USDINR 27 JUN23 FUT,BCD_FO|1019597,0,0,XX,true
2166612,USDINR23MARFUT,USDINR,600,3,3,2023,FUT,FO,1,0.25,10000,BCD,USDINR,USDINR 03 MAR23 FUT,BCD_FO|2166612,0,0,XX,true
1036196,USDINR23JANFUT,USDINR,600,20,1,2023,FUT,FO,1,0.25,10000,BCD,USDINR,USDINR 20 JAN23 FUT,BCD_FO|1036196,714.68,0,XX,true
1004460,USDINR23JANFUT,USDINR,600,27,1,2023,FUT,FO,1,0.25,10000,BCD,USDINR,USDINR 27 JAN23 FUT,BCD_FO|1004460,2411647.25,0,XX,true
2167800,USDINR23MARFUT,USDINR,600,10,3,2023,FUT,FO,1,0.25,10000,BCD,USDINR,USDINR 10 MAR23 FUT,BCD_FO|2167800,0,0,XX,true
1013459,USDINR23APRFUT,USDINR,600,26,4,2023,FUT,FO,1,0.25,10000,BCD,USDINR,USDINR 26 APR23 FUT,BCD_FO|1013459,335646.94,0,XX,true
1038645,USDINR23NOVFUT,USDINR,600,28,11,2023,FUT,FO,1,0.25,10000,BCD,USDINR,USDINR 28 NOV23 FUT,BCD_FO|1038645,0,0,XX,true
1007013,USDINR23FEBFUT,USDINR,600,24,2,2023,FUT,FO,1,0.25,10000,BCD,USDINR,USDINR 24 FEB23 FUT,BCD_FO|1007013,153275.52,0,XX,true
2170504,USDINR23MARFUT,USDINR,600,24,3,2023,FUT,FO,1,0.25,10000,BCD,USDINR,USDINR 24 MAR23 FUT,BCD_FO|2170504,0,0,XX,true
1031938,USDINR23SEPFUT,USDINR,600,26,9,2023,FUT,FO,1,0.25,10000,BCD,USDINR,USDINR 26 SEP23 FUT,BCD_FO|1031938,2.5,0,XX,true
2162627,USDINR23FEBFUT,USDINR,600,3,2,2023,FUT,FO,1,0.25,10000,BCD,USDINR,USDINR 03 FEB23 FUT,BCD_FO|2162627,0,0,XX,true
1024217,GBPINR23JULFUT,GBPINR,601,27,7,2023,FUT,FO,1,0.25,10000,BCD,GBPINR,GBPINR 27 JUL23 FUT,BCD_FO|1024217,0,0,XX,true
1016711,GBPINR23MAYFUT,GBPINR,601,29,5,2023,FUT,FO,1,0.25,10000,BCD,GBPINR,GBPINR 29 MAY23 FUT,BCD_FO|1016711,0,0,XX,true
2164067,GBPINR23FEBFUT,GBPINR,601,10,2,2023,FUT,FO,1,0.25,10000,BCD,GBPINR,GBPINR 10 FEB23 FUT,BCD_FO|2164067,0,0,XX,true
2164879,GBPINR23FEBFUT,GBPINR,601,17,2,2023,FUT,FO,1,0.25,10000,BCD,GBPINR,GBPINR 17 FEB23 FUT,BCD_FO|2164879,0,0,XX,true
1043014,GBPINR23DECFUT,GBPINR,601,27,12,2023,FUT,FO,1,0.25,10000,BCD,GBPINR,GBPINR 27 DEC23 FUT,BCD_FO|1043014,0,0,XX,true
1034923,GBPINR23OCTFUT,GBPINR,601,27,10,2023,FUT,FO,1,0.25,10000,BCD,GBPINR,GBPINR 27 OCT23 FUT,BCD_FO|1034923,0,0,XX,true
1010391,GBPINR23MARFUT,GBPINR,601,28,3,2023,FUT,FO,1,0.25,10000,BCD,GBPINR,GBPINR 28 MAR23 FUT,BCD_FO|1010391,0,0,XX,true
1035128,GBPINR23JANFUT,GBPINR,601,13,1,2023,FUT,FO,1,0.25,10000,BCD,GBPINR,GBPINR 13 JAN23 FUT,BCD_FO|1035128,0,0,XX,true
1027339,GBPINR23AUGFUT,GBPINR,601,29,8,2023,FUT,FO,1,0.25,10000,BCD,GBPINR,GBPINR 29 AUG23 FUT,BCD_FO|1027339,0,0,XX,true
1019598,GBPINR23JUNFUT,GBPINR,601,27,6,2023,FUT,FO,1,0.25,10000,BCD,GBPINR,GBPINR 27 JUN23 FUT,BCD_FO|1019598,0,0,XX,true
2166505,GBPINR23MARFUT,GBPINR,601,3,3,2023,FUT,FO,1,0.25,10000,BCD,GBPINR,GBPINR 03 MAR23 FUT,BCD_FO|2166505,0,0,XX,true
1036197,GBPINR23JANFUT,GBPINR,601,20,1,2023,FUT,FO,1,0.25,10000,BCD,GBPINR,GBPINR 20 JAN23 FUT,BCD_FO|1036197,0,0,XX,true
2167714,GBPINR23MARFUT,GBPINR,601,10,3,2023,FUT,FO,1,0.25,10000,BCD,GBPINR,GBPINR 10 MAR23 FUT,BCD_FO|2167714,0,0,XX,true
1004461,GBPINR23JANFUT,GBPINR,601,27,1,2023,FUT,FO,1,0.25,10000,BCD,GBPINR,GBPINR 27 JAN23 FUT,BCD_FO|1004461,15403.43,0,XX,true
1013460,GBPINR23APRFUT,GBPINR,601,26,4,2023,FUT,FO,1,0.25,10000,BCD,GBPINR,GBPINR 26 APR23 FUT,BCD_FO|1013460,0,0,XX,true
1038646,GBPINR23NOVFUT,GBPINR,601,28,11,2023,FUT,FO,1,0.25,10000,BCD,GBPINR,GBPINR 28 NOV23 FUT,BCD_FO|1038646,0,0,XX,true
2169698,GBPINR23MARFUT,GBPINR,601,17,3,2023,FUT,FO,1,0.25,10000,BCD,GBPINR,GBPINR 17 MAR23 FUT,BCD_FO|2169698,0,0,XX,true
1007014,GBPINR23FEBFUT,GBPINR,601,24,2,2023,FUT,FO,1,0.25,10000,BCD,GBPINR,GBPINR 24 FEB23 FUT,BCD_FO|1007014,0,0,XX,true
2170440,GBPINR23MARFUT,GBPINR,601,24,3,2023,FUT,FO,1,0.25,10000,BCD,GBPINR,GBPINR 24 MAR23 FUT,BCD_FO|2170440,0,0,XX,true
1031939,GBPINR23SEPFUT,GBPINR,601,26,9,2023,FUT,FO,1,0.25,10000,BCD,GBPINR,GBPINR 26 SEP23 FUT,BCD_FO|1031939,0,0,XX,true
2162555,GBPINR23FEBFUT,GBPINR,601,3,2,2023,FUT,FO,1,0.25,10000,BCD,GBPINR,GBPINR 03 FEB23 FUT,BCD_FO|2162555,0,0,XX,true
2164074,EURINR23FEBFUT,EURINR,602,10,2,2023,FUT,FO,1,0.25,10000,BCD,EURINR,EURINR 10 FEB23 FUT,BCD_FO|2164074,0,0,XX,true
1024218,EURINR23JULFUT,EURINR,602,27,7,2023,FUT,FO,1,0.25,10000,BCD,EURINR,EURINR 27 JUL23 FUT,BCD_FO|1024218,0,0,XX,true
1016712,EURINR23MAYFUT,EURINR,602,29,5,2023,FUT,FO,1,0.25,10000,BCD,EURINR,EURINR 29 MAY23 FUT,BCD_FO|1016712,0,0,XX,true
2164915,EURINR23FEBFUT,EURINR,602,17,2,2023,FUT,FO,1,0.25,10000,BCD,EURINR,EURINR 17 FEB23 FUT,BCD_FO|2164915,0,0,XX,true
1043015,EURINR23DECFUT,EURINR,602,27,12,2023,FUT,FO,1,0.25,10000,BCD,EURINR,EURINR 27 DEC23 FUT,BCD_FO|1043015,0,0,XX,true
1034924,EURINR23OCTFUT,EURINR,602,27,10,2023,FUT,FO,1,0.25,10000,BCD,EURINR,EURINR 27 OCT23 FUT,BCD_FO|1034924,0,0,XX,true
1010392,EURINR23MARFUT,EURINR,602,28,3,2023,FUT,FO,1,0.25,10000,BCD,EURINR,EURINR 28 MAR23 FUT,BCD_FO|1010392,0,0,XX,true
1035129,EURINR23JANFUT,EURINR,602,13,1,2023,FUT,FO,1,0.25,10000,BCD,EURINR,EURINR 13 JAN23 FUT,BCD_FO|1035129,0,0,XX,true
1027340,EURINR23AUGFUT,EURINR,602,29,8,2023,FUT,FO,1,0.25,10000,BCD,EURINR,EURINR 29 AUG23 FUT,BCD_FO|1027340,0,0,XX,true
1019599,EURINR23JUNFUT,EURINR,602,27,6,2023,FUT,FO,1,0.25,10000,BCD,EURINR,EURINR 27 JUN23 FUT,BCD_FO|1019599,0,0,XX,true
2166531,EURINR23MARFUT,EURINR,602,3,3,2023,FUT,FO,1,0.25,10000,BCD,EURINR,EURINR 03 MAR23 FUT,BCD_FO|2166531,0,0,XX,true
1036198,EURINR23JANFUT,EURINR,602,20,1,2023,FUT,FO,1,0.25,10000,BCD,EURINR,EURINR 20 JAN23 FUT,BCD_FO|1036198,0,0,XX,true
1004462,EURINR23JANFUT,EURINR,602,27,1,2023,FUT,FO,1,0.25,10000,BCD,EURINR,EURINR 27 JAN23 FUT,BCD_FO|1004462,19383.85,0,XX,true
2167729,EURINR23MARFUT,EURINR,602,10,3,2023,FUT,FO,1,0.25,10000,BCD,EURINR,EURINR 10 MAR23 FUT,BCD_FO|2167729,0,0,XX,true
1013461,EURINR23APRFUT,EURINR,602,26,4,2023,FUT,FO,1,0.25,10000,BCD,EURINR,EURINR 26 APR23 FUT,BCD_FO|1013461,0,0,XX,true
1038647,EURINR23NOVFUT,EURINR,602,28,11,2023,FUT,FO,1,0.25,10000,BCD,EURINR,EURINR 28 NOV23 FUT,BCD_FO|1038647,0,0,XX,true
2169706,EURINR23MARFUT,EURINR,602,17,3,2023,FUT,FO,1,0.25,10000,BCD,EURINR,EURINR 17 MAR23 FUT,BCD_FO|2169706,0,0,XX,true
1007015,EURINR23FEBFUT,EURINR,602,24,2,2023,FUT,FO,1,0.25,10000,BCD,EURINR,EURINR 24 FEB23 FUT,BCD_FO|1007015,0,0,XX,true
2170448,EURINR23MARFUT,EURINR,602,24,3,2023,FUT,FO,1,0.25,10000,BCD,EURINR,EURINR 24 MAR23 FUT,BCD_FO|2170448,0,0,XX,true
1031940,EURINR23SEPFUT,EURINR,602,26,9,2023,FUT,FO,1,0.25,10000,BCD,EURINR,EURINR 26 SEP23 FUT,BCD_FO|1031940,0,0,XX,true
2162567,EURINR23FEBFUT,EURINR,602,3,2,2023,FUT,FO,1,0.25,10000,BCD,EURINR,EURINR 03 FEB23 FUT,BCD_FO|2162567,0,0,XX,true
1024219,JPYINR23JULFUT,JPYINR,603,27,7,2023,FUT,FO,1,0.25,10000,BCD,JPYINR,JPYINR 27 JUL23 FUT,BCD_FO|1024219,0,0,XX,true
1016713,JPYINR23MAYFUT,JPYINR,603,29,5,2023,FUT,FO,1,0.25,10000,BCD,JPYINR,JPYINR 29 MAY23 FUT,BCD_FO|1016713,0,0,XX,true
2164132,JPYINR23FEBFUT,JPYINR,603,10,2,2023,FUT,FO,1,0.25,10000,BCD,JPYINR,JPYINR 10 FEB23 FUT,BCD_FO|2164132,0,0,XX,true
2165010,JPYINR23FEBFUT,JPYINR,603,17,2,2023,FUT,FO,1,0.25,10000,BCD,JPYINR,JPYINR 17 FEB23 FUT,BCD_FO|2165010,0,0,XX,true
1043016,JPYINR23DECFUT,JPYINR,603,27,12,2023,FUT,FO,1,0.25,10000,BCD,JPYINR,JPYINR 27 DEC23 FUT,BCD_FO|1043016,0,0,XX,true
1034925,JPYINR23OCTFUT,JPYINR,603,27,10,2023,FUT,FO,1,0.25,10000,BCD,JPYINR,JPYINR 27 OCT23 FUT,BCD_FO|1034925,0,0,XX,true
1010393,JPYINR23MARFUT,JPYINR,603,28,3,2023,FUT,FO,1,0.25,10000,BCD,JPYINR,JPYINR 28 MAR23 FUT,BCD_FO|1010393,0,0,XX,true
1035130,JPYINR23JANFUT,JPYINR,603,13,1,2023,FUT,FO,1,0.25,10000,BCD,JPYINR,JPYINR 13 JAN23 FUT,BCD_FO|1035130,0,0,XX,true
1027341,JPYINR23AUGFUT,JPYINR,603,29,8,2023,FUT,FO,1,0.25,10000,BCD,JPYINR,JPYINR 29 AUG23 FUT,BCD_FO|1027341,0,0,XX,true
1019600,JPYINR23JUNFUT,JPYINR,603,27,6,2023,FUT,FO,1,0.25,10000,BCD,JPYINR,JPYINR 27 JUN23 FUT,BCD_FO|1019600,0,0,XX,true
2166602,JPYINR23MARFUT,JPYINR,603,3,3,2023,FUT,FO,1,0.25,10000,BCD,JPYINR,JPYINR 03 MAR23 FUT,BCD_FO|2166602,0,0,XX,true
1036199,JPYINR23JANFUT,JPYINR,603,20,1,2023,FUT,FO,1,0.25,10000,BCD,JPYINR,JPYINR 20 JAN23 FUT,BCD_FO|1036199,0,0,XX,true
1004463,JPYINR23JANFUT,JPYINR,603,27,1,2023,FUT,FO,1,0.25,10000,BCD,JPYINR,JPYINR 27 JAN23 FUT,BCD_FO|1004463,5664.68,0,XX,true
2167787,JPYINR23MARFUT,JPYINR,603,10,3,2023,FUT,FO,1,0.25,10000,BCD,JPYINR,JPYINR 10 MAR23 FUT,BCD_FO|2167787,0,0,XX,true
1013462,JPYINR23APRFUT,JPYINR,603,26,4,2023,FUT,FO,1,0.25,10000,BCD,JPYINR,JPYINR 26 APR23 FUT,BCD_FO|1013462,0,0,XX,true
1038648,JPYINR23NOVFUT,JPYINR,603,28,11,2023,FUT,FO,1,0.25,10000,BCD,JPYINR,JPYINR 28 NOV23 FUT,BCD_FO|1038648,0,0,XX,true
2169735,JPYINR23MARFUT,JPYINR,603,17,3,2023,FUT,FO,1,0.25,10000,BCD,JPYINR,JPYINR 17 MAR23 FUT,BCD_FO|2169735,0,0,XX,true
1007016,JPYINR23FEBFUT,JPYINR,603,24,2,2023,FUT,FO,1,0.25,10000,BCD,JPYINR,JPYINR 24 FEB23 FUT,BCD_FO|1007016,0,0,XX,true
2170493,JPYINR23MARFUT,JPYINR,603,24,3,2023,FUT,FO,1,0.25,10000,BCD,JPYINR,JPYINR 24 MAR23 FUT,BCD_FO|2170493,0,0,XX,true
1031941,JPYINR23SEPFUT,JPYINR,603,26,9,2023,FUT,FO,1,0.25,10000,BCD,JPYINR,JPYINR 26 SEP23 FUT,BCD_FO|1031941,0,0,XX,true
2162617,JPYINR23FEBFUT,JPYINR,603,3,2,2023,FUT,FO,1,0.25,10000,BCD,JPYINR,JPYINR 03 FEB23 FUT,BCD_FO|2162617,0,0,XX,true
1041749,619GS203423JAN93CE,619GS2034,634,25,1,2023,OPT,FO,1,0.25,10000,BCD,619GS2034,619GS2034 25 JAN23 93CE,BCD_FO|1041749,0,93,CE,true
1041750,619GS203423JAN93CE,619GS2034,634,25,1,2023,OPT,FO,1,0.25,10000,BCD,619GS2034,619GS2034 25 JAN23 93PE,BCD_FO|1041750,0,93,PE,true
