symbol,name,token,exchange,series,instrument,displayName,exchangeToken,assetToken,expiryDate,expiryMonth,expiryYear,strikePrice,optionType,lotSize,tickSize,maxQuantity,underlyingSymbol,underlyingExchangeToken,optionsAvailable,tradedValue
INDSTR,INDSTR,INDSTR,BSE,INDEX,INDEX,INDSTR,BSE_INDEX|INDSTR,0,0,0,0,0,XX,0,0,0,,,false,0
ALLCAP,ALLCAP,ALLCAP,BSE,INDEX,INDEX,ALLCAP,BSE_INDEX|ALLCAP,0,0,0,0,0,XX,0,0,0,,,false,0
SMLSEL,SMLSEL,SMLSEL,BSE,INDEX,INDEX,SMLSEL,BSE_INDEX|SMLSEL,0,0,0,0,0,XX,0,0,0,,,false,0
MFG,MFG,MFG,BSE,INDEX,INDEX,MFG,BSE_INDEX|MFG,0,0,0,0,0,XX,0,0,0,,,false,0
MIDCAP,MIDCAP,MIDCAP,BSE,INDEX,INDEX,MIDCAP,BSE_INDEX|MIDCAP,0,0,0,0,0,XX,0,0,0,,,false,0
GREENX,GREENX,GREENX,BSE,INDEX,INDEX,GREENX,BSE_INDEX|GREENX,0,0,0,0,0,XX,0,0,0,,,false,0
BSECG,BSECG,BSECG,BSE,INDEX,INDEX,BSECG,BSE_INDEX|BSECG,0,0,0,0,0,XX,0,0,0,,,false,0
OILGAS,OILGAS,OILGAS,BSE,INDEX,INDEX,OILGAS,BSE_INDEX|OILGAS,0,0,0,0,0,XX,0,0,0,,,false,0
FINSER,FINSER,FINSER,BSE,INDEX,INDEX,FINSER,BSE_INDEX|FINSER,0,0,0,0,0,XX,0,0,0,,,false,0
POWER,POWER,POWER,BSE,INDEX,INDEX,POWER,BSE_INDEX|POWER,0,0,0,0,0,XX,0,0,0,,,false,0
BANKEX,BANKEX,BANKEX,BSE,INDEX,INDEX,BANKEX,BSE_INDEX|BANKEX,0,0,0,0,0,XX,0,0,0,,,false,0
SENSEX,SENSEX,SENSEX,BSE,INDEX,INDEX,SENSEX,BSE_INDEX|SENSEX,0,0,0,0,0,XX,0,0,0,,,false,0
COMDTY,COMDTY,COMDTY,BSE,INDEX,INDEX,COMDTY,BSE_INDEX|COMDTY,0,0,0,0,0,XX,0,0,0,,,false,0
UTILS,UTILS,UTILS,BSE,INDEX,INDEX,UTILS,BSE_INDEX|UTILS,0,0,0,0,0,XX,0,0,0,,,false,0
CPSE,CPSE,CPSE,BSE,INDEX,INDEX,CPSE,BSE_INDEX|CPSE,0,0,0,0,0,XX,0,0,0,,,false,0
BSE200,BSE200,BSE200,BSE,INDEX,INDEX,BSE200,BSE_INDEX|BSE200,0,0,0,0,0,XX,0,0,0,,,false,0
CARBON,CARBON,CARBON,BSE,INDEX,INDEX,CARBON,BSE_INDEX|CARBON,0,0,0,0,0,XX,0,0,0,,,false,0
BSEPSU,BSEPSU,BSEPSU,BSE,INDEX,INDEX,BSEPSU,BSE_INDEX|BSEPSU,0,0,0,0,0,XX,0,0,0,,,false,0
BSEHC,BSEHC,BSEHC,BSE,INDEX,INDEX,BSEHC,BSE_INDEX|BSEHC,0,0,0,0,0,XX,0,0,0,,,false,0
AUTO,AUTO,AUTO,BSE,INDEX,INDEX,AUTO,BSE_INDEX|AUTO,0,0,0,0,0,XX,0,0,0,,,false,0
BSECD,BSECD,BSECD,BSE,INDEX,INDEX,BSECD,BSE_INDEX|BSECD,0,0,0,0,0,XX,0,0,0,,,false,0
SMEIPO,SMEIPO,SMEIPO,BSE,INDEX,INDEX,SMEIPO,BSE_INDEX|SMEIPO,0,0,0,0,0,XX,0,0,0,,,false,0
BSEIT,BSEIT,BSEIT,BSE,INDEX,INDEX,BSEIT,BSE_INDEX|BSEIT,0,0,0,0,0,XX,0,0,0,,,false,0
BSEFMC,BSEFMC,BSEFMC,BSE,INDEX,INDEX,BSEFMC,BSE_INDEX|BSEFMC,0,0,0,0,0,XX,0,0,0,,,false,0
SMLCAP,SMLCAP,SMLCAP,BSE,INDEX,INDEX,SMLCAP,BSE_INDEX|SMLCAP,0,0,0,0,0,XX,0,0,0,,,false,0
CONDIS,CONDIS,CONDIS,BSE,INDEX,INDEX,CONDIS,BSE_INDEX|CONDIS,0,0,0,0,0,XX,0,0,0,,,false,0
BSEIPO,BSEIPO,BSEIPO,BSE,INDEX,INDEX,BSEIPO,BSE_INDEX|BSEIPO,0,0,0,0,0,XX,0,0,0,,,false,0
BSE500,BSE500,BSE500,BSE,INDEX,INDEX,BSE500,BSE_INDEX|BSE500,0,0,0,0,0,XX,0,0,0,,,false,0
TECK,TECK,TECK,BSE,INDEX,INDEX,TECK,BSE_INDEX|TECK,0,0,0,0,0,XX,0,0,0,,,false,0
ENERGY,ENERGY,ENERGY,BSE,INDEX,INDEX,ENERGY,BSE_INDEX|ENERGY,0,0,0,0,0,XX,0,0,0,,,false,0
INFRA,INFRA,INFRA,BSE,INDEX,INDEX,INFRA,BSE_INDEX|INFRA,0,0,0,0,0,XX,0,0,0,,,false,0
BSE100,BSE100,BSE100,BSE,INDEX,INDEX,BSE100,BSE_INDEX|BSE100,0,0,0,0,0,XX,0,0,0,,,false,0
MIDSEL,MIDSEL,MIDSEL,BSE,INDEX,INDEX,MIDSEL,BSE_INDEX|MIDSEL,0,0,0,0,0,XX,0,0,0,,,false,0
LRGCAP,LRGCAP,LRGCAP,BSE,INDEX,INDEX,LRGCAP,BSE_INDEX|LRGCAP,0,0,0,0,0,XX,0,0,0,,,false,0
REALTY,REALTY,REALTY,BSE,INDEX,INDEX,REALTY,BSE_INDEX|REALTY,0,0,0,0,0,XX,0,0,0,,,false,0
TELCOM,TELCOM,TELCOM,BSE,INDEX,INDEX,TELCOM,BSE_INDEX|TELCOM,0,0,0,0,0,XX,0,0,0,,,false,0
METAL,METAL,METAL,BSE,INDEX,INDEX,METAL,BSE_INDEX|METAL,0,0,0,0,0,XX,0,0,0,,,false,0
AIMCOPEST,AIMCO PESTICIDES LTD,524288,BSE,EQ,X,AIMCOPEST,BSE_EQ|524288,0,0,0,0,0,XX,1,5,25000,,,false,5872918
975APSFC24,975APSFC24,950283,BSE,EQ,F,975APSFC24,BSE_EQ|950283,0,0,0,0,0,XX,1,1,25000,,,false,0
0SEFL28,SEFLZC25528NCD,936190,BSE,EQ,F,0SEFL28,BSE_EQ|936190,0,0,0,0,0,XX,1,1,25000,,,false,0
GUJTERC,GUJARAT TERCE LABORATORIES LTD,524314,BSE,EQ,X,GUJTERC,BSE_EQ|524314,0,0,0,0,0,XX,1,5,25000,,,false,154043
KABRADG,KABRA DRUGS LTD,524322,BSE,EQ,XT,KABRADG,BSE_EQ|524322,0,0,0,0,0,XX,1,1,25000,,,false,0
SEYAIND,SEYA INDUSTRIES LTD,524324,BSE,EQ,T,SEYAIND,BSE_EQ|524324,0,0,0,0,0,XX,1,5,25000,,,false,0
COCHINSHIP,COCHIN SHIPYARD LIMITED,540678,BSE,EQ,A,COCHINSHIP,BSE_EQ|540678,0,0,0,0,0,XX,1,5,25000,,,false,46682447
JAYAGROGN,JAYANT AGROORGANICS LTD,524330,BSE,EQ,B,JAYAGROGN,BSE_EQ|524330,0,0,0,0,0,XX,1,5,25000,,,false,1129550
BCLIL,BCL INDUSTRIES LIMITED,524332,BSE,EQ,B,BCLIL,BSE_EQ|524332,0,0,0,0,0,XX,1,5,25000,,,false,2161818
732NTPC29,NTPC73217729PVT,958879,BSE,EQ,F,732NTPC29,BSE_EQ|958879,0,0,0,0,0,XX,1,1,25000,,,false,0
SHHARICH,SHREE HARI CHEMICALS EXPORT LT,524336,BSE,EQ,X,SHHARICH,BSE_EQ|524336,0,0,0,0,0,XX,1,5,25000,,,false,7062
KIOCL,KIOCL LIMITED,540680,BSE,EQ,B,KIOCL,BSE_EQ|540680,0,0,0,0,0,XX,1,5,25000,,,false,388935
1015IBHFL24,IBHFL10155624PVT,950322,BSE,EQ,F,1015IBHFL24,BSE_EQ|950322,0,0,0,0,0,XX,1,1,25000,,,false,0
INDOBORAX,INDO BORAX  CHEMICALS LTD,524342,BSE,EQ,B,INDOBORAX,BSE_EQ|524342,0,0,0,0,0,XX,1,5,25000,,,false,593423
88OPAL10325,OPAL88310032025PVT,959105,BSE,EQ,F,88OPAL10325,BSE_EQ|959105,0,0,0,0,0,XX,1,1,25000,,,false,0
GHFL30822,GHFL29822CP,723421,BSE,EQ,F,GHFL30822,BSE_EQ|723421,0,0,0,0,0,XX,1,1,25000,,,false,0
AARTIDRUGS,AARTI DRUGS LTD,524348,BSE,EQ,A,AARTIDRUGS,BSE_EQ|524348,0,0,0,0,0,XX,1,5,25000,,,false,7920028
0GIPL23,GOSWAMIZCIE300523PVT,950337,BSE,EQ,F,0GIPL23,BSE_EQ|950337,0,0,0,0,0,XX,1,1,25000,,,false,0
1092SEFL24,SEFL109213624PVT,950352,BSE,EQ,F,1092SEFL24,BSE_EQ|950352,0,0,0,0,0,XX,1,1,25000,,,false,0
BODALCHEM,BODAL CHEMICALS LTD,524370,BSE,EQ,A,BODALCHEM,BSE_EQ|524370,0,0,0,0,0,XX,1,5,25000,,,false,912468
12BRPL24,BRPL1230624PVT,956697,BSE,EQ,F,12BRPL24,BSE_EQ|956697,0,0,0,0,0,XX,1000000,1,25000,,,false,0
ORCHIDPHAR,ORCHID PHARMA LIMITED,524372,BSE,EQ,T,ORCHIDPHAR,BSE_EQ|524372,0,0,0,0,0,XX,1,5,25000,,,false,170249
970LTICL24,LTINFRACL9710624PVT,950360,BSE,EQ,F,970LTICL24,BSE_EQ|950360,0,0,0,0,0,XX,1,1,25000,,,false,0
93LTICL24,LTICL9326624PVT,958015,BSE,EQ,F,93LTICL24,BSE_EQ|958015,0,0,0,0,0,XX,1,1,25000,,,false,0
114SEFL24B,SEFL11410624PVT,950362,BSE,EQ,F,114SEFL24B,BSE_EQ|950362,0,0,0,0,0,XX,1,1,25000,,,false,0
109SEFL2024,SEFL1090200624PVT,950367,BSE,EQ,F,109SEFL2024,BSE_EQ|950367,0,0,0,0,0,XX,1,1,25000,,,false,0
924HDFC2024,HDFC924M00924624PVT,950373,BSE,EQ,F,924HDFC2024,BSE_EQ|950373,0,0,0,0,0,XX,1,1,25000,,,false,0
VIMTALABS,VIMTA LABS LTD,524394,BSE,EQ,B,VIMTALABS,BSE_EQ|524394,0,0,0,0,0,XX,1,5,25000,,,false,3169764
BIOFILCHEM,BIOFIL CHEMICALS  PHARMACEUTI,524396,BSE,EQ,B,BIOFILCHEM,BSE_EQ|524396,0,0,0,0,0,XX,1,5,25000,,,false,11832505
ISHITADR,ISHITA DRUGS  INDUSTRIES LTD,524400,BSE,EQ,X,ISHITADR,BSE_EQ|524400,0,0,0,0,0,XX,1,5,25000,,,false,104653
MARKSANS*,MARKSANS PHARMA LTD,524404,BSE,EQ,A,MARKSANS*,BSE_EQ|524404,0,0,0,0,0,XX,1,5,25000,,,false,9618012
UNIVSTAR,UNIVERSAL STARCHCHEM ALLIED L,524408,BSE,EQ,XT,UNIVSTAR,BSE_EQ|524408,0,0,0,0,0,XX,1,5,25000,,,false,98549
AREYDRG,AAREY DRUGS  PHARMACEUTICALS,524412,BSE,EQ,B,AREYDRG,BSE_EQ|524412,0,0,0,0,0,XX,1,5,25000,,,false,322307
