symbol,name,token,exchange,series,instrument,displayName,exchangeToken,assetToken,expiryDate,expiryMonth,expiryYear,strikePrice,optionType,lotSize,tickSize,maxQuantity,underlyingSymbol,underlyingExchangeToken,optionsAvailable,tradedValue
MCXBULLDEX,MCXBULLDEX,MCXBULLDEX,MCX,INDEX,INDEX,MCXBULLDEX,MCX_INDEX|MCXBULLDEX,0,0,0,0,0,XX,0,0,0,,,false,0
GOLD22DECFUT,GOLD,234876,MCX,FO,FUT,GOLD 05 DEC22 FUT,MCX_FO|234876,114,5,12,2022,0,XX,1,100,300,GOLD,undefined,true,554538.25
GOLD23APRFUT,GOLD,240284,MCX,FO,FUT,GOLD 05 APR23 FUT,MCX_FO|240284,114,5,4,2023,0,XX,1,100,300,GOLD,undefined,true,468.91
GOLD23JUNFUT,GOLD,243149,MCX,FO,FUT,GOLD 05 JUN23 FUT,MCX_FO|243149,114,5,6,2023,0,XX,1,100,300,GOLD,undefined,true,0
GOLD23AUGFUT,GOLD,245896,MCX,FO,FUT,GOLD 04 AUG23 FUT,MCX_FO|245896,114,4,8,2023,0,XX,1,100,300,GOLD,undefined,true,0
GOLD23FEBFUT,GOLD,236488,MCX,FO,FUT,GOLD 03 FEB23 FUT,MCX_FO|236488,114,3,2,2023,0,XX,1,100,300,GOLD,undefined,true,21442.77
SILVER23MARFUT,SILVER,239259,MCX,FO,FUT,SILVER 03 MAR23 FUT,MCX_FO|239259,115,3,3,2023,0,XX,30,100,300,SILVER,undefined,true,16236.53
SILVER22DECFUT,SILVER,234877,MCX,FO,FUT,SILVER 05 DEC22 FUT,MCX_FO|234877,115,5,12,2022,0,XX,30,100,300,SILVER,undefined,true,380403.12
SILVER23JULFUT,SILVER,244731,MCX,FO,FUT,SILVER 05 JUL23 FUT,MCX_FO|244731,115,5,7,2023,0,XX,30,100,300,SILVER,undefined,true,0
SILVER23SEPFUT,SILVER,247116,MCX,FO,FUT,SILVER 05 SEP23 FUT,MCX_FO|247116,115,5,9,2023,0,XX,30,100,300,SILVER,undefined,true,0
SILVER23MAYFUT,SILVER,241933,MCX,FO,FUT,SILVER 05 MAY23 FUT,MCX_FO|241933,115,5,5,2023,0,XX,30,100,300,SILVER,undefined,true,147.02
GOLDM22NOVFUT,GOLDM,245707,MCX,FO,FUT,GOLDM 04 NOV22 FUT,MCX_FO|245707,117,4,11,2022,0,XX,100,100,300,GOLDM,undefined,true,76605.98
GOLDM23JANFUT,GOLDM,248236,MCX,FO,FUT,GOLDM 05 JAN23 FUT,MCX_FO|248236,117,5,1,2023,0,XX,100,100,300,GOLDM,undefined,true,693.33
GOLDM22DECFUT,GOLDM,246896,MCX,FO,FUT,GOLDM 05 DEC22 FUT,MCX_FO|246896,117,5,12,2022,0,XX,100,100,300,GOLDM,undefined,true,28739.23
RUBBER22NOVFUT,RUBBER,243800,MCX,FO,FUT,RUBBER 30 NOV22 FUT,MCX_FO|243800,118,30,11,2022,0,XX,1,100,300,RUBBER,undefined,true,0
RUBBER22DECFUT,RUBBER,245468,MCX,FO,FUT,RUBBER 30 DEC22 FUT,MCX_FO|245468,118,30,12,2022,0,XX,1,100,300,RUBBER,undefined,true,0
RUBBER22OCTFUT,RUBBER,242735,MCX,FO,FUT,RUBBER 31 OCT22 FUT,MCX_FO|242735,118,31,10,2022,0,XX,1,100,300,RUBBER,undefined,true,0
KAPAS22NOVFUT,KAPAS,234355,MCX,FO,FUT,KAPAS 30 NOV22 FUT,MCX_FO|234355,120,30,11,2022,0,XX,4,50,300,KAPAS,undefined,true,0
KAPAS23APRFUT,KAPAS,239897,MCX,FO,FUT,KAPAS 28 APR23 FUT,MCX_FO|239897,120,28,4,2023,0,XX,4,50,300,KAPAS,undefined,true,0
KAPAS23FEBFUT,KAPAS,235945,MCX,FO,FUT,KAPAS 28 FEB23 FUT,MCX_FO|235945,120,28,2,2023,0,XX,4,50,300,KAPAS,undefined,true,0
SILVERM23FEBFUT,SILVERM,239260,MCX,FO,FUT,SILVERM 28 FEB23 FUT,MCX_FO|239260,122,28,2,2023,0,XX,5,100,300,SILVERM,undefined,true,11864.19
SILVERM22NOVFUT,SILVERM,233973,MCX,FO,FUT,SILVERM 30 NOV22 FUT,MCX_FO|233973,122,30,11,2022,0,XX,5,100,300,SILVERM,undefined,true,164347.82
SILVERM23JUNFUT,SILVERM,244732,MCX,FO,FUT,SILVERM 30 JUN23 FUT,MCX_FO|244732,122,30,6,2023,0,XX,5,100,300,SILVERM,undefined,true,0
SILVERM23AUGFUT,SILVERM,247117,MCX,FO,FUT,SILVERM 31 AUG23 FUT,MCX_FO|247117,122,31,8,2023,0,XX,5,100,300,SILVERM,undefined,true,0
SILVERM23APRFUT,SILVERM,241934,MCX,FO,FUT,SILVERM 28 APR23 FUT,MCX_FO|241934,122,28,4,2023,0,XX,5,100,300,SILVERM,undefined,true,576.8
COPPER22DECFUT,COPPER,245453,MCX,FO,FUT,COPPER 30 DEC22 FUT,MCX_FO|245453,152,30,12,2022,0,XX,2500,5,300,COPPER,undefined,true,0
COPPER23FEBFUT,COPPER,247926,MCX,FO,FUT,COPPER 28 FEB23 FUT,MCX_FO|247926,152,28,2,2023,0,XX,2500,5,300,COPPER,undefined,true,0
COPPER22NOVFUT,COPPER,243793,MCX,FO,FUT,COPPER 30 NOV22 FUT,MCX_FO|243793,152,30,11,2022,0,XX,2500,5,300,COPPER,undefined,true,12875.79
COPPER22OCTFUT,COPPER,242729,MCX,FO,FUT,COPPER 31 OCT22 FUT,MCX_FO|242729,152,31,10,2022,0,XX,2500,5,300,COPPER,undefined,true,226714.95
COPPER23JANFUT,COPPER,246592,MCX,FO,FUT,COPPER 31 JAN23 FUT,MCX_FO|246592,152,31,1,2023,0,XX,2500,5,300,COPPER,undefined,true,0
NICKEL22NOVFUT,NICKEL,243796,MCX,FO,FUT,NICKEL 30 NOV22 FUT,MCX_FO|243796,153,30,11,2022,0,XX,1500,10,300,NICKEL,undefined,true,0
NICKEL22OCTFUT,NICKEL,242731,MCX,FO,FUT,NICKEL 31 OCT22 FUT,MCX_FO|242731,153,31,10,2022,0,XX,1500,10,300,NICKEL,undefined,true,0
NICKEL22DECFUT,NICKEL,245455,MCX,FO,FUT,NICKEL 30 DEC22 FUT,MCX_FO|245455,153,30,12,2022,0,XX,1500,10,300,NICKEL,undefined,true,0
NICKEL23JANFUT,NICKEL,246597,MCX,FO,FUT,NICKEL 31 JAN23 FUT,MCX_FO|246597,153,31,1,2023,0,XX,1500,10,300,NICKEL,undefined,true,0
NICKEL23FEBFUT,NICKEL,247928,MCX,FO,FUT,NICKEL 28 FEB23 FUT,MCX_FO|247928,153,28,2,2023,0,XX,1500,10,300,NICKEL,undefined,true,0
CRUDEOIL23JANFUT,CRUDEOIL,244999,MCX,FO,FUT,CRUDEOIL 19 JAN23 FUT,MCX_FO|244999,294,19,1,2023,0,XX,100,100,300,CRUDEOIL,undefined,true,0
CRUDEOIL22DECFUT,CRUDEOIL,243301,MCX,FO,FUT,CRUDEOIL 19 DEC22 FUT,MCX_FO|243301,294,19,12,2022,0,XX,100,100,300,CRUDEOIL,undefined,true,30.18
CRUDEOIL23MARFUT,CRUDEOIL,247398,MCX,FO,FUT,CRUDEOIL 20 MAR23 FUT,MCX_FO|247398,294,20,3,2023,0,XX,100,100,300,CRUDEOIL,undefined,true,0
CRUDEOIL23FEBFUT,CRUDEOIL,246083,MCX,FO,FUT,CRUDEOIL 17 FEB23 FUT,MCX_FO|246083,294,17,2,2023,0,XX,100,100,300,CRUDEOIL,undefined,true,0
CRUDEOIL22NOVFUT,CRUDEOIL,242244,MCX,FO,FUT,CRUDEOIL 18 NOV22 FUT,MCX_FO|242244,294,18,11,2022,0,XX,100,100,300,CRUDEOIL,undefined,true,18149.11
CRUDEOIL22OCTFUT,CRUDEOIL,240524,MCX,FO,FUT,CRUDEOIL 19 OCT22 FUT,MCX_FO|240524,294,19,10,2022,0,XX,100,100,300,CRUDEOIL,undefined,true,245882.34
MENTHAOIL22DECFUT,MENTHAOIL,243803,MCX,FO,FUT,MENTHAOIL 30 DEC22 FUT,MCX_FO|243803,320,30,12,2022,0,XX,360,10,300,MENTHAOIL,undefined,true,25.53
MENTHAOIL23MARFUT,MENTHAOIL,247929,MCX,FO,FUT,MENTHAOIL 31 MAR23 FUT,MCX_FO|247929,320,31,3,2023,0,XX,360,10,300,MENTHAOIL,undefined,true,0
