token,symbol,name,assetToken,expiryDate,expiryMonth,expiryYear,instrument,series,lotSize,tickSize,maxQuantity,exchange,underlyingSymbol,displayName,exchangeToken,tradedValue,strikePrice,optionType,optionsAvailable
1037,USDINR22DECFUT,USDINR,1,16,12,2022,FUT,FO,1,0.25,10000,NCD,USDINR,USDINR 16 DEC22 FUT,NCD_FO|1037,37947950,0,XX,true
1099,USDINR23OCTFUT,USDINR,1,27,10,2023,FUT,FO,1,0.25,10000,NCD,USDINR,USDINR 27 OCT23 FUT,NCD_FO|1099,362446412.5,0,XX,true
1102,USDINR23JUNFUT,USDINR,1,28,6,2023,FUT,FO,1,0.25,10000,NCD,USDINR,USDINR 28 JUN23 FUT,NCD_FO|1102,117452105,0,XX,true
1171,USDINR23JANFUT,USDINR,1,20,1,2023,FUT,FO,1,0.25,10000,NCD,USDINR,USDINR 20 JAN23 FUT,NCD_FO|1171,2059885,0,XX,true
1182,USDINR22DECFUT,USDINR,1,28,12,2022,FUT,FO,1,0.25,10000,NCD,USDINR,USDINR 28 DEC22 FUT,NCD_FO|1182,85794881782.5,0,XX,true
1278,USDINR23JULFUT,USDINR,1,27,7,2023,FUT,FO,1,0.25,10000,NCD,USDINR,USDINR 27 JUL23 FUT,NCD_FO|1278,148374982.5,0,XX,true
1299,USDINR23FEBFUT,USDINR,1,24,2,2023,FUT,FO,1,0.25,10000,NCD,USDINR,USDINR 24 FEB23 FUT,NCD_FO|1299,846361925,0,XX,true
1314,USDINR23MARFUT,USDINR,1,29,3,2023,FUT,FO,1,0.25,10000,NCD,USDINR,USDINR 29 MAR23 FUT,NCD_FO|1314,2039084732.5,0,XX,true
1353,USDINR23JANFUT,USDINR,1,27,1,2023,FUT,FO,1,0.25,10000,NCD,USDINR,USDINR 27 JAN23 FUT,NCD_FO|1353,7208551902.5,0,XX,true
2084,USDINR23MAYFUT,USDINR,1,29,5,2023,FUT,FO,1,0.25,10000,NCD,USDINR,USDINR 29 MAY23 FUT,NCD_FO|2084,168464590,0,XX,true
2801,USDINR23FEBFUT,USDINR,1,3,2,2023,FUT,FO,1,0.25,10000,NCD,USDINR,USDINR 03 FEB23 FUT,NCD_FO|2801,575737.5,0,XX,true
3637,USDINR23APRFUT,USDINR,1,26,4,2023,FUT,FO,1,0.25,10000,NCD,USDINR,USDINR 26 APR23 FUT,NCD_FO|3637,418019325,0,XX,true
4410,USDINR22DECFUT,USDINR,1,23,12,2022,FUT,FO,1,0.25,10000,NCD,USDINR,USDINR 23 DEC22 FUT,NCD_FO|4410,84561622.5,0,XX,true
5023,USDINR22DECFUT,USDINR,1,2,12,2022,FUT,FO,1,0.25,10000,NCD,USDINR,USDINR 02 DEC22 FUT,NCD_FO|5023,2795665867.5,0,XX,true
5940,USDINR22NOVFUT,USDINR,1,28,11,2022,FUT,FO,1,0.25,10000,NCD,USDINR,USDINR 28 NOV22 FUT,NCD_FO|5940,218392155907.5,0,XX,true
